Code,States,Women,Legality
AL,Alabama,16.7,0
AK,Alaska,33.3,2
AZ,Arizona,40,1
AR,Arkansas,19.2,0
CA,California,39.4,3
CO,Colorado,48.3,3
CT,Connecticut,33.3,3
DE,Delaware,29.4,3
FL,Florida,31.8,1
GA,Georgia,30,0
HI,Hawaii,42.9,3
ID,Idaho,24.2,0
IL,Illinois,40.6,3
IN,Indiana,25.7,0
IA,Iowa,45,2
KS,Kansas,25.9,0
KY,Kentucky,23.4,0
LA,Louisiana,15,0
ME,Maine,39.8,3
MD,Maryland,34.9,3
MA,Massachusetts,29.4,3
MI,Michigan,25.2,2
MN,Minnesota,49.2,3
MS,Mississippi,15.8,0
MO,Missouri,24.5,1
MT,Montana,43.8,2
NE,Nebraska,27.5,0
NV,Nevada,39.7,2
NH,New Hampshire,37.9,2
NJ,New Jersey,29.2,3
NM,New Mexico,44.4,3
NY,New York,31.4,3
NC,North Carolina,28.5,0
ND,North Dakota,28.1,0
OH,Ohio,28.2,1
OK,Oklahoma,22.2,0
OR,Oregon,42.7,3
PA,Pennsylvania,28.8,3
RI,Rhode Island,36.5,3
SC,South Carolina,25.3,0
SD,South Dakota,27.3,0
TN,Tennessee,28.3,0
TX,Texas,31.9,0
UT,Utah,18.6,0
VT,Vermont,42.6,3
VA,Virginia,28.1,0
WA,Washington,42.6,3
WV,West Virginia,14.3,0
WI,Wisconsin,30.4,3
WY,Wyoming,17.4,0
